State,Code,Type,Zone,Capital,Largest City,Statehood,Population,Area (km2),Language,Other Languages,Capital Location,Color Code
Rajasthan,IN-RJ,State,Northern,Jaipur,Jaipur,1 November 1956,"68,548,437","342,269",Hindi,English,"360, 296","255, 255, 191"
Sikkim,IN-SK,State,North-Eastern,Gangtok,Gangtok,16 May 1975,"610,577","7,096",English,"Bhutia, Gurung, Lepcha, Limbu, Manggar, Mukhia, Newari, Rai, Sherpa, Tamang","350, 686","191, 231, 255"
Tamil Nadu,IN-TN,State,Southern,Chennai,Chennai,26 January 1950,"72,147,030","130,058",Tamil,English,"810, 434","255, 223, 239"
Telangana,IN-TG,State,Southern,Hyderabad,Hyderabad,2 June 2014,"35,193,978","114,840","Telugu, Urdu",---,"640, 384","255, 199, 167"
Tripura,IN-TR,State,North-Eastern,Agartala,Agartala,21 January 1972,"3,673,917","10,492","Bengali, Kokborok, English",---,"466, 774","255, 223, 239"
Uttar Pradesh,IN-UP,State,Central,Lucknow,Kanpur,26 January 1950,"199,812,341","243,286",Hindi,Urdu,"384, 432","199, 255, 199"
Uttarakhand,IN-UT,State,Central,Dehradun,Dehradun,9 November 2000,"10,086,292","53,483",Hindi,Sanskrit,"248, 368","191, 231, 255"
West Bengal,IN-WB,State,Eastern,Kolkata,Kolkata,26 January 1950,"91,276,115","88,752","Bengali, Nepali","Hindi, Urdu, Santali, Odia and Punjabi","516, 682","199, 255, 199"
Andaman and Nicobar Islands,IN-AN,Union Territory,---,Port Blair,Port Blair,---,"380,581","8,249","Hindi, English",---,"854, 812","191, 231, 255"
Chandigarh,IN-CH,Union Territory,---,Chandigarh,Chandigarh,---,"1,055,450",114,English,---,"234, 326","255, 199, 167"
Dadra and Nagar Haveli,IN-DN,Union Territory,---,Silvassa,Silvassa,---,"343,709",491,"Gujarati, Hindi",Marathi,"584, 216","255, 199, 167"
Daman and Diu,IN-DD,Union Territory,---,Daman,Daman,---,"243,247",112,"English, Gujarati, Hindi, Konkani[d]",---,"582, 212","255, 199, 167"
Delhi,IN-DL,Union Territory,---,New Delhi,New Delhi,---,"16,787,941","1,490",Hindi,"Punjabi, Urdu","308, 342","255, 0, 0"
Lakshadweep,IN-LD,Union Territory,---,Kavaratti,Kavaratti,---,"64,473",32,English,Malayalam,"906, 194","191, 231, 255"
Puducherry,IN-PY,Union Territory,---,Pondicherry,Pondicherry,---,"1,247,953",492,"English, Tamil","Malayalam, Telugu","848, 420","255, 199, 167"
